,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,neighborhood,city,postal_code,space_type,location_type,primary_features__c,ideal_for__c,city_slug
646,30511,1,,3000.0,,,,,,,BEAUTIFUL SPEAKEASY BAR AND LOUNGE WITH FIREPLACE,"BEAUTIFUL SPEAKEASY BAR & LOUNGE WITH CUSTOM WOOD WALLS AND 11.5' CEILING, CUTOM STONE OVAL BAR, CUSTOM STONE FIREPLACE, DESIGNER LIGHTING AND LUXURIOUS LOUNGE FURNITURE. EXPECT LOW LIGHTING, HIGH SPIRITS AND A CHANCE TO GET LOST IN TIME, IN OUR BLEND OF SPEAKEASY AND BRITISH STYLE CLUB. $1000 per hour with a minimum rental of 3 hours.",,Downtown Los Angeles,Los Angeles,90021,Restaurant / Bar / Cafe,,Air Conditioning;Furniture;Counters;Electricity;Handicap Accessible;Heating;Security System;Street Level;Internet;Ground Floor;Bathroom;Bar;Daylight;Industrial;Liquor Licence;Water Access;Animals Friendly,Product Launch;Corporate Event;Photoshoot & Filming;Food & Beverage;Meeting;Photo Shooting,los-angeles
649,30913,1,,450.0,,1500.0,,,,,Vintage Blank Space,"For lovers of vintage style and classic kitchen design, this 1920s apartment is the perfect backdrop for photoshoots and short films. The apartment has warm, inviting  hallway that leads into a well-appointed kitchen and bright open hardwood floor spae.  Whether you are an aspiring filmmaker or a passionate food blogger, this vintage apartment is sure to add that extra layer of intrigue to your project! So why wait? Book it today and start creating your next masterpiece!",,Central LA,West Hollywood,90046,Apartment / Loft,,Air Conditioning;Lighting;Internet;Toilets;Bathroom;Elevator,Fashion Show;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Shopping Mall;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Shop Share;Photo Shooting,los-angeles
675,30427,1,,360.0,7200.0,540.0,1800.0,,,,Bougie Inspired Studio,"The studio includes the following amenities:

• Customized Studio Lighting (Weeylite RGB ring light & GVM 800D-RGB LED Studio 3-Video Light Kit)
• Cyc Wall (17ft deep x 15ft wide x 12ft tall)
• iPad for in-house lighting control and music
• Bluetooth Music (Spotify)
• Hair/Make-Up Station
• Clothing Rack
• Steamer
• Private Kitchen
• Private Bathroom
• Wifi
• Air Conditioning
• Portable fans

** Additional two studios available for rent in same space along with buyout of entire building for events.",,Central LA,Los Angeles,90046,Photo / Filming Studio,,Air Conditioning;Furniture;Garment Rack;Counters;Electricity;Fitting Rooms;Kitchen;Lighting;Security System;Street Level;Internet;Sound & Video Equipment;Toilets;Living Space;Ground Floor;Rooftop;Bathroom;Whitebox / Minimal;Industrial;Private Parking;Multiple Rooms;Water Access;Smoking Area;Animals Friendly,Art Opening;Photoshoot & Filming;Photo Shooting,los-angeles
714,18681,1,28.0,1400.0,,1500.0,4500.0,,,Daylight Photo Studio & Event Space,Daylight Photo Studio & Event Space,"This luxury boutique photo studio and event space is located in historic Lincoln Heights Los Angeles. It is a bright white studio with incredible lighting, making it the perfect place for a showroom, photoshoot video shoot or Pop-Up. 

This beautiful white box space is a transformative studio with high ceilings, offering beautiful daylight, mobile hair and makeup stations, wardrobe racks, a full kitchen and a surround sound speaking system.",This luxury boutique photo studio and event space is located in historic Lincoln Heights Los Angeles.,Lincoln Heights,Los Angeles,90031,Photo / Filming Studio,,Air Conditioning;Furniture;Garment Rack;Counters;Electricity;Handicap Accessible;Heating;Kitchen;Lighting;Street Level;Internet;Office Equipment;Sound & Video Equipment;Toilets;Whitebox / Minimal,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming,los-angeles
744,31927,1,7.0,539.0,,,,False,,,Hill 2 - Light Wall,"Hill 2 is a true blackout Photo Studio with dimmable light walls, giving you complete control over your next photo shoot's ambient light and background glow. The studio measures more than 41 feet in length and 20 feet in width, giving you plenty of room to play with. This photo studio for rent’s controlled light setup is perfectly customizable.",,South Los Angeles,Los Angeles,90015,Photo / Filming Studio,,Air Conditioning;Furniture;Garment Rack;Electricity;Lighting;Internet;Toilets;Bathroom;Elevator,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event;Photoshoot & Filming;Conference;Meeting;Photo Shooting,los-angeles
758,31926,1,7.0,539.0,,,,False,,,Hill 1 - Daylight studio with White Walls and Floor,"This shining daylight photo studio for rent sports white tile high gloss floors, big windows, an exquisite wooden queen bed draped with a fine-mesh white baldachin, double-sided textured silver and gold rolling flat, and a white lattice cream white rose wall corner. Everything about this rental photo studio screams ""bright,"" and we're sure that the natural light streaming from the room's huge windows will perfectly illuminate your next photo project.",,South Los Angeles,Los Angeles,90015,Unique Space,,Air Conditioning;Furniture;Electricity;Fitting Rooms;Lighting;Internet;Toilets;Bathroom;Elevator;Daylight,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event;Photoshoot & Filming;Conference;Meeting;Photo Shooting,los-angeles
759,31928,1,7.0,599.0,,,,False,,,Hill 3 - Daylight Photo Studio with Mirror Wall,"Hill 3 seems to go on and on and on. That's partly due to its generous size – 41 feet by 42 feet – and partly due to the full natural light streaming in from its big windows and bouncing off a king-size mirror wall. Hill 3 features a white brick wall partition in addition to the mirror wall, and the room is set up to be the perfect daylight studio.",,South Los Angeles,Los Angeles,90015,Photo / Filming Studio,,Air Conditioning;Garment Rack;Electricity;Fitting Rooms;Lighting;Internet;Toilets;Elevator;Daylight,Fashion Show;Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event;Photoshoot & Filming;Conference;Meeting;Photo Shooting,los-angeles
760,31951,1,,850.0,12750.0,1250.0,4250.0,False,,,Creative Space in Los Angeles,This creative space has options of all kinds! From comedy to films to meditation class and paint parties! We have a large green screen and projector screen inside as well as an awesome backyard area! Everything is decked out in artwork of all kinds from Graffiti to fine art! Come have fun with us!,,East Hollywood,Los Angeles,90004,Unique Space,,Furniture;Electricity;Handicap Accessible;Kitchen;Lighting;Street Level;Internet;Window Display;Office Equipment;Sound & Video Equipment;Ground Floor;Bathroom;Daylight;Water Access;Animals Friendly,Fashion Show;Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Shop Share;Photo Shooting,los-angeles
769,31911,1,336.0,650.0,9750.0,1000.0,3000.0,False,,,"Compton Flex Space Creative Studio Private Events with Green Room + Wetbar 1800SF. Natural Light, Industrial Windows","Brand new, beautiful, large 1800 sq ft photo studio for photography and video shoots, meetings, auditions, workshops and special events/parties, pop-up shops, brand launches. 

Centrally located in the Downtown Compton with lots of parking and free lighting gear. Great value for the amount of space and amenities it offers.

The space is 1,800 SF with large picture windows facing Compton Blvd, boasts great natural light, has a loft-like open and airy feel.  

It has soft pale gray (almost white) wall walls/floor, gray, high industrial dark ceilings, and faux grass walls for backgrounds. 

It also has a living room set with GREEN SCREEN/BACKDROP for video productions. It has big windows overlooking historic Downtown Compton Blvd for interviews, photo, and video shoots.  Adjacent to a skatepark.

There is an interchangable floorlength backdrop, softbox lighting, ring lights, available for a small fee.

Two newly-remodeled restrooms, rear lounge and prep area, wetbar sink available.

We are centrally located and offer free parking.",,,Compton,90221,Event Space,,Furniture;Garment Rack;Electricity;Fitting Rooms;Handicap Accessible;Street Level;Internet;Window Display;Toilets;Bathroom;Daylight;Whitebox / Minimal;Industrial;Multiple Rooms,Fashion Show;Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Shop Share;Photo Shooting,los-angeles
828,29785,1,28.0,750.0,11250.0,850.0,3750.0,False,,,Modern Oasis Luxury Estate,"Come enjoy your time in this luxury two story modern oasis in the heart of Toluca Lake. It’s easy to fall in love with what truly makes this estate special. Upon entry to this four bedroom estate, you are immediately greeted by designer finishes throughout and breathtaking views of your very own custom designed private oasis. From Italian Hardwood to custom water and fire features throughout the landscape. This stunning 1,800sqft+ estate sits on a 4,500sqft+ lot and is located within walking distance to Downtown Toluca Lake.",,Toluca Lake,Los Angeles,91602,Mansion / House,,Air Conditioning;Furniture;Counters;Electricity;Heating;Kitchen;Lighting;Street Level;Internet;Toilets;Living Space;Ground Floor;Garden;Private Parking;Car Display;Multiple Rooms;Water Access,Fashion Show;Private Sale;Art Opening;Product Launch;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Photo Shooting,los-angeles
829,31933,1,7.0,599.0,,,,False,,,Hill 7 - Rain Room,"Hill 7 is a unique photo studio in Los Angeles that features controllable rain set up. The studio itself measures about 36 feet in length and 20 feet in width with the basin area of 13 feet lenght and 20 feet wide. This photo studio also has white and black vinyl backdrops available upon request, two color changing pre-installed LED lights, and a hose. To turn the rain on simply twist one faucet at a 90 degree angle and a warm rain water will start dropping from our custom-made set up in a waterproof basin.",,South Los Angeles,Los Angeles,90015,Photo / Filming Studio,,Air Conditioning;Electricity;Fitting Rooms;Lighting;Internet;Toilets;Bathroom;Elevator;Daylight,Photoshoot & Filming;Photo Shooting,los-angeles
830,31924,1,7.0,479.0,,,,False,,,Olympic 4 - Private Jet,"First, in Los Angeles, rental photo studio with a unique Private Jet  set and artificial window lights.",,Central LA,Los Angeles,90023,Unique Space,,Furniture;Garment Rack;Electricity;Fitting Rooms;Lighting;Internet;Toilets;Ground Floor;Private Parking,Fashion Show;Private Sale;Art Opening;Pop-Up Store;Fashion Showroom;Photoshoot & Filming;Meeting;Photo Shooting,los-angeles
860,31934,1,7.0,479.0,,,,False,,,Hill 8 - Moto And Concrete Studio,"Hill 8 is a versatile photo studio with a rust corner and an oversized fan to match the theme on one side of the studio and a zig-zag LED lit foil wall on the other side. This photo studio also features a real-size red British phone booth, a dark wood barn door, and a few wooden barrels. Moreover, this photo studio has one east facing window allowing best morning sunlight.",,South Los Angeles,Los Angeles,90015,Photo / Filming Studio,,Furniture;Garment Rack;Fitting Rooms;Lighting;Internet;Toilets;Elevator;Daylight,Pop-Up Store;Fashion Showroom;Photoshoot & Filming;Meeting;Photo Shooting,los-angeles
889,31923,1,7.0,599.0,,,,False,,,Olympic 3 - Large White Cyc Wall with Car Turntable,"Car photography studio for rent with 18ft turntable, white corner cyc wall featuring a motorized grid system for the lights, that can go down to the floor or up to the ceiling. An LED car tunnel is also available at this studio.",,Central LA,Los Angeles,90023,Unique Space,,Garment Rack;Electricity;Fitting Rooms;Lighting;Internet;Toilets;Ground Floor;Bathroom,Fashion Show;Product Launch;Pop-Up Store;Fashion Showroom;Photoshoot & Filming;Meeting;Photo Shooting,los-angeles
892,30935,1,336.0,150.0,1800.0,150.0,450.0,False,,,Treatment / Spa Room Available for Rent,"Available for rent Sundays, Mondays and/or Fridays.

- wifi
- bluetooth for music
- waiting room with water
- sink
- massage table with linens
- aromatherapy
- plenty of metered parking in front of building (1 hour and 4 hour)

Perfect for a massage therapist, esthetician, cosmetic-related, etc.",,,Beverly Hills,90212,Other,,Air Conditioning;Furniture;Counters;Electricity;Lighting;Street Level;Internet;Window Display;Sound & Video Equipment;Ground Floor;Bathroom;Daylight;Water Access,Pop-Up Store,los-angeles
914,30209,1,84.0,250.0,4000.0,350.0,1100.0,,,,"Multi-functional Creative Space in Long Beach, California - Photography, Music Recording, Podcast & More!","950sq FT creative studio with (4) rooms. We are set up for podcasts, music recording, and photography. We have high-speed internet with TVs in every room. We have everything you need to file your creative passion. Feel free to use us for events - pop-up spaces, parties, poetry nights or live music.",,,Long Beach,90813,Creative Space,,Air Conditioning;Furniture;Garment Rack;Electricity;Fitting Rooms;Heating;Lighting;Security System;Internet;Office Equipment;Sound & Video Equipment;Toilets;Bathroom;Daylight;Multiple Rooms;Water Access;Smoking Area;Soundproof,Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Food Event;Photoshoot & Filming;Conference;Meeting;Office;Photo Shooting,los-angeles
922,31930,1,7.0,539.0,,,,False,,,Hill 4 - Jungle Room,"Take a walk on the wild side with this jungle-themed daylight studio, featuring big windows, plenty of natural light, and unique props, like a blue Vespa scooter, large planters with tropical trees and woven chairs. This photo studio for rent's jungle theme is perfect for playful shots and more. It features an artificial leaf wall and yellow textured walls backdrop with moroccan flooring. Moreover, there is neon room that comes inside of Hill 4 studio. The hay bale setup and a play send were added to this studio.",,South Los Angeles,Los Angeles,90015,Photo / Filming Studio,,Air Conditioning;Furniture;Garment Rack;Electricity;Fitting Rooms;Lighting;Internet;Toilets;Bathroom;Elevator;Daylight,Private Sale;Art Opening;Product Launch;Fashion Showroom;Corporate Event;Photoshoot & Filming;Meeting;Photo Shooting,los-angeles
938,18090,1,,595.0,,875.0,4500.0,False,,Stunning Art Deco Suite,Stunning Art Deco Suite,"Hidden behind an industrial freezer door, this storeroom speakeasy is the ideal setting for an upscale cocktail party or celebration. In addition to the well-appointed interior, there is a gorgeous walled patio right outside the main space.

Evening pricing is at custom rate, and we allow rentals to run as late as 1:00am.
Day rates are starting rates based on eight hours plus cleaning fee

Maximum capacity of 30 is a combination of seated and standing with a cocktail party setup; capacity may decrease depending on use of space.

Amenities

WiFi
Natural Light
Tables
Chairs
Outdoor Patio Furniture
Restroom
Sonos Sound System

*ADD-ONS (Additional fees apply)
Roku TV
Karaoke
Overnight Storage/Setup

*Note that the spirits pictured are not included in the rental :)","Hidden behind an industrial freezer door, this storeroom speakeasy is the ideal setting for an upscale cocktail party or celebration.",Santa Monica,Santa Monica,90401,Apartment / Loft,,Air Conditioning;Furniture;Counters;Electricity;Handicap Accessible;Internet;Toilets,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Fashion Showroom;Food Event;Photoshoot & Filming,los-angeles
947,31931,1,1.0,419.0,,,,False,,,Hill 5 - Pink Wall,"This fun daylight photo studio for rent oozes character with its natural light, and a variety of props. The default props for this room include a gold bellman cart, and a stylish pink piano. Hill 5 also features a candy-striped pink-and-red wall and a polished white concrete floor.",,South Los Angeles,Los Angeles,90015,Photo / Filming Studio,,Air Conditioning;Furniture;Garment Rack;Electricity;Fitting Rooms;Lighting;Toilets;Bathroom;Elevator;Daylight,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event;Photoshoot & Filming;Meeting;Photo Shooting,los-angeles
949,32286,1,336.0,600.0,9000.0,600.0,3000.0,False,,,"Professional, modern and clean studio in Santa Monica","Our studio is designed for the needs of any photographer, cinematographer or studio rental. It also provides enough space for seminars, castings anything you need. It is very modern clean and us owners are trying to help every person who wants to collaborate.",,,Santa Monica,90404,Atelier / Workshop Studio,,Air Conditioning;Furniture;Garment Rack;Electricity;Fitting Rooms;Handicap Accessible;Heating;Kitchen;Lighting;Security System;Stock Room;Street Level;Internet;Window Display;Office Equipment;Sound & Video Equipment;Toilets;Living Space;Stunning View;Ground Floor;Bathroom;Daylight;Private Parking;Large Door Entrance;Multiple Rooms;Water Access;Smoking Area;Animals Friendly;Soundproof,Fashion Show;Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Shop Share;Photo Shooting,los-angeles
966,30383,1,28.0,1200.0,25000.0,1500.0,7500.0,False,,,Gorgeous Space with moveable Seats and Red Velvet Curtains,"This Beautifully designed space combines Art Deco and Bohemian flare to the modern warehouse. High wood beam ceilings and exposed brick with marble counter tops in the lobby add a level of elegance and charm that is truly unique and sought after. 
The space is designed to create your experience. All of our seating platforms are built on wheels allowing the freedom to reconfigure it to your needs. We strive for a space that can do everything from fashion runway to gallery to artistic expression of art in any form.  Lookin for that New York warehouse vibe with an old classic hollywood flare, this is the perfect little bohemian gem for you. Plenty of space on our concrete floors as well as our large stage to configure your experience for your customers. 
We are located by LACC as well as several other small theaters. There is heavy foot traffic on a daily basis with the museum that is nearby as well as some other local spots. 

Using us for your popup, you will be able to access the location during our operating ours  from 8am - 11pm as long as your are renting us. We do offer special cleaning services as well as valet if needed for special red carpet events and security. Please let us know if any of these interest you.",,East Hollywood,Los Angeles,90004,Event Space,,Air Conditioning;Furniture;Garment Rack;Counters;Electricity;Fitting Rooms;Handicap Accessible;Lighting;Stock Room;Street Level;Internet;Sound & Video Equipment;Toilets;Ground Floor;Bathroom;Bar;Private Parking;Large Door Entrance;Water Access;Animals Friendly,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Shop Share;Photo Shooting,los-angeles
