,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,neighborhood,city,postal_code,space_type,location_type,primary_features__c,ideal_for__c,city_slug
262,28462,1,,799.0,11999.0,999.0,3999.0,,,,Creative Space for Creative Minds,"This is a 3,000 square foot studio, featuring two floors of multiple rooms for creatives and their ideas. Our first floor back rooms are dedicated to photographers and models for photoshoots. Our storefront/lobby can be used for office space. The rest of our rooms can be used for what ever your vision is.

We are located on Jericho Turnpike which is the main road of the town. We are surrounded by public transportation including MTA & LIRR. The foot traffic does not stop since our local neighbors are restaurants, bars, and other businesses.",,,Floral Park,11001,Creative Space,,Air Conditioning;Furniture;Counters;Electricity;Fitting Rooms;Heating;Lighting;Security System;Street Level;Internet;Window Display;Office Equipment;Living Space;Stunning View;Ground Floor;Bathroom;Raw;Multiple Rooms,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Shop Share;Photo Shooting,new-york
308,27263,1,,530.0,7000.0,530.0,2500.0,,,,"Charming, Spacious, Bright Studio","Spacious bright space with a Zen/ indoor jungle vibe great fit for all types of events like-Production, Seminars, Workshops, Celebrations and much more!
The space can accommodate up to 30 guest. Furniture can be moved at request, please ask first and I will help. Music can be played within reason
Amenities: 
4 standard chairs 
20 foldable chairs
4 6ft rectangular tables w/black table covrs
Refrigerator 
Small decorative tables
Free street parking
Wooden pallet love seat

Available from 8am -10pm",,North Side,Mount Vernon,10550,Event Space,,Air Conditioning;Furniture;Counters;Electricity;Heating;Security System;Internet;Toilets;Bathroom;Industrial,Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Shop Share;Photo Shooting,new-york
353,28590,1,,600.0,4000.0,700.0,1900.0,,,,Luxurious Urban Atelier,"This Luxurious Boutique has a back of store Atelier.
Magical, elegant, and luxurious is just a few words to describe the look and feel of this uniquely designed space. Contemporary and sophisticated, with varying shades of purple, gold accents, tufted chairs, floral decor,  customizable ambient lighting, Color change L.E.D lights, and a movable floor plan, allows for a variety of perfectly photographable events that look great from every angle.  

Conveniently located on the edge of the Bronx Hub Shopping Center, minutes away from the popular 149th St-Third Ave, this event space is easily accessible and in a high foot traffic area. This makes it ideal for both public and private events. There are plenty of restaurants nearby that offer catering and delicious quick bites. 

Events Perfect For This Venue:
Pop Up Shops♦ Meetings ♦ Fashion Shows ♦ Corporate/Non-Profit Events ♦ Workshops/Classes ♦ Baby Showers ♦ Bachelorette/Groom Parties ♦ Interviews ♦ Exhibits/Showcase ♦ Product Launch ♦ Meet & Greets ♦ Cocktail Parties ♦ Showcase/Performance  ♦ Birthday Parties
 
Venue Amenities:
Color Change LED Lights, Wifi, AC, Restroom, Street level access, Bluetooth Speaker, Chairs, Luxury Sofa & Lounge chairs, Projector, Bar Cart, Work Desks, Reception Desk, Coat Rack",,Woodstock,Bronx,10451,Atelier / Workshop Studio,,Air Conditioning;Furniture;Garment Rack;Electricity;Heating;Lighting;Street Level;Internet;Office Equipment;Ground Floor,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Food & Beverage;Meeting;Office;Shop Share;Photo Shooting,new-york
376,29592,1,5.0,2500.0,,12500.0,,,,,"Modern, Spacious, Diamond in the Rough",Are you looking for a new idea on how to spend spare time? At this location you have the opportunity to forget about worries for a while and merely enjoy your free time.,,Morrisania,Bronx,10457,Event Space,,Air Conditioning;Furniture;Electricity;Heating;Lighting;Security System;Internet;Window Display;Sound & Video Equipment;Toilets;Bathroom;Elevator;Multiple Rooms;Smoking Area;Soundproof,Late Night Event (after 10pm);Photo Shooting,new-york
441,11478,1,336.0,700.0,18000.0,900.0,4500.0,,,Historical SoHo Performing Arts Venue,Historical SoHo Performing Arts Venue,"This 1,000 sq ft playhouse is a historical performing arts venue located in the center of West SoHo. It's ideal space for Private Events in a prime location.

This space also has a concert hall which can be hired. It also has a small cabaret space with full bar, which can accommodate up to 100 people. This space is perfect for a cocktail mixer before or after your event.

The space is located in the heart of West Soho, the surrounding area is full of popular theaters, bars, restaurants and shops and is easily accessible.","This 1,000 sq ft playhouse is a historical performing arts venue located in the center of West SoHo.",SoHo,New York,10013,Hall,,Air Conditioning;Furniture;Counters;Electricity;Fitting Rooms;Heating;Kitchen;Lighting;Stock Room;Street Level;Sound & Video Equipment;Toilets,Late Night Event (after 10pm);Food Event;Corporate Event,new-york
444,28409,1,14.0,400.0,,400.0,2000.0,,,,Daylight Loft Studio with 20 Foot Ceilings,"The space is a 700 square foot studio located in Long Island City, Queens. The studio offers a large wall of north facing windows that gets beautiful light at all times of the day. We are set up for all types of portraiture, fashion shoots, and any other creative projects. The space is air conditioned and features an MUA staging area with large Hollywood vanity mirror, directors chairs, stools, and an open lounge area with leather couch, and tables for working. We have livened up the space with some plant elements, and the high ceilings create an incredible ambiance. 

We are conveniently located off of Court Square and nearby Queensboro Plaza. 1.5 blocks from the E,G,M, & 7 trains, 3 blocks from the N/W, and 6 blocks from the R and F trains. We are just 5-10 minutes from Midtown Manhattan, 15 - 25 from Downtown, and a hop over the water from Brooklyn.

Backdrops are free for a wall pull - $15 fee for full sweep/roll out of seamless on the floor. Special order backdrop colors can be requested and installed for $85 (5 day notice required)

White, Black, and Gray are always kept in stock. Color backdrop availability varies. 2-3 days prior to your booking we can provide you with the current stock of backdrop availability.

Full Equipment List:

3 Bowens Gemini Mono Light Heads
60” Octabank Soft Box
Strip Soft Box w/ Grid
21” Beauty Dish
Barn doors/Snoot/Gels
Remote Trigger Sync
Multiple Umbrellas
Seamless backdrops (all available colors available for a wall pull, + $15 for full floor pull)
5 in 1 Reflectors (2)
V-Flats (2)
C Stands (3)
A Clamps (6)
Digi Tech Rolling Cart
Apple boxes (2)
Rolling/Posing Stools (2)
Wooden Stools (2)
2’x2’x3’ White Posing Cube
Full Size Clothing Steamer
MUA Prep Area
Rolling Wardrobe Rack
Fold Out Table
Black Out Curtains
Sheer Curtains (installed upon request)
Sand bags (4)
Industrial Strength Fan
Full Length Rolling Mirror
Mini fridge
Coffee + Tea

The studio is available for hourly/ partial day rentals which will reflect a price change, please inquire with any questions regarding time frames.",,Long Island City,Queens,11101,Photo / Filming Studio,,Air Conditioning;Furniture;Garment Rack;Electricity;Heating;Lighting;Security System;Internet;Toilets;Bathroom;Elevator;Industrial;Large Door Entrance,Photoshoot & Filming;Meeting;Photo Shooting,new-york
448,13239,1,7.0,800.0,,,,,,Sleek Harlem Pop-Up Shop,Sleek Harlem Pop-Up Shop,"This creative retail space is in the lively area of Harlem. It is an ideal location for brands to host a Pop-Up Store or Exclusive Sales.

This sleek boutique has a inviting frontage with a classic window display and is filled with a bright natural light. The interiors here are modern with high ceilings, tiled flooring and white walls. The space has a welcoming atmosphere and a modern open plan. It offers basic amenities including fitting rooms and can accommodate a variety of pop-ups.

This space is situated in a vibrant area of Harlem close to Frederick Douglass Ave and just a couple blocks away from Central Park. It is a great opportunity for brands looking to expand into new territory.",This creative retail space is in the lively area of Harlem.,Harlem,New York,10026,Boutique / Shop,,Air Conditioning;Furniture;Garment Rack;Counters;Electricity;Fitting Rooms;Lighting;Internet;Window Display;Sound & Video Equipment;Toilets,Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store,new-york
453,15137,1,365.0,3500.0,70000.0,3700.0,22000.0,,,Your Customizable Mobile Pop-Up Truck,Your Customizable Mobile Pop-Up Truck,"This Mobile Pop-Up Truck is fully customizable. 

Bring your idea to life and promote your brand with a mobile pop-up. These high-end glass trucks can bring your brand wherever you want to be: you can rent these trucks and customize them for one day, one week, a month or longer term. 

The interior space is 9' long x 8' wide with a fully-functional door/entrance into the space, The space itself is open, and you can design it however you want. Create an experiential pop-up that physically engages with your customers, with this super flexible set-up. 

We provide a super quick turnaround and a full turn key solution. Send your inquiry directly to us and we can discuss the next steps. 

We are excited to bringing your brand experience to life, anytime, anywhere!",This Mobile Pop-Up Truck is fully customizable.,SoHo,New York,10012,Truck,,Air Conditioning;Furniture;Garment Rack;Counters;Electricity;Lighting;Street Level;Internet;Window Display;Sound & Video Equipment,Late Night Event (after 10pm);Product Launch;Pop-Up Store;Food Event;Photoshoot & Filming,new-york
458,30422,1,,3500.0,,,,,,,Fully Stocked Storefront Commercial Kitchens,"Strategically located at the crossroads of Greenpoint and East Williamsburg, this venue is a two-level refined commercial space elegantly combining industrial and refined warm aspects. 

The space is divided between the ground floor and the cellar space.
You can book both or just one of them.

MINIMUM PRICES
Min. quotes (Meetings & Productions): starting at $1,900 for Ground Floor / $1,550 for the Cellar
Min. quotes (Events): starting at $2,800 for the Ground Floor / $2,450 for the Cellar

These are our minimum prices.
Inquire for a full quote + custom quote to book both spaces.

CAPACITY (as-is)
Ground floor: 5 tables, 2 benches, 33 stools (w/ chair back): seats 73
Cellar: 4 tables, 8 benches, 12 stools (w.o. chair back): seats 36
Capacity: 100

THE STOREFRONT
Size: 1300 sqft; open space: 850 sqft.
Access: Ground floor

Elegant concrete floors and prime marble countertops are balanced by the warmth of an outburst of sunlight welcomed in by numerous floor-to-ceiling windows, European oak paneling, and elegantly placed ambient lighting. The kitchen is fully stocked with chef's appliances. With tasteful shelving, plenty of exposed and hidden storage, and a clear tile backsplash for a perfect shoot backdrop, sophisticated column structures, plants, and rolling tables and benches, this venue has an easily convertible layout.

AMENITIES
Ground floor / Storefront
10′ high doors
Open layout
European oak paneling
Marble countertops
Natural light
12’ high floor-to-ceiling windows
U-shaped area
Professionally stocked
Rolling tables/seating 
2 fridges
4 industrial stoves
Double sink
Sonos system 
Live plants
Sonos sound system
Premium sound attenuations*

*Built in a 2018 gravity-defying architectural marvel, this venue counts with 10″ thick poured concrete walls, 12″ thick solid concrete slabs for the floor + rigid and batt insulation, and custom oversized double-glazed fenestration, making the sound perfect for all types of events, showrooms, and production shoots that need to record sound.


THE CELLAR 
Size: 1000 sqft+
Access: Stairs only

The fully-stocked cellar space has a warm and clean design, distinctive yellow tiles on the walls and ceiling for added warmth, elegant dark wood on all cabinetry and walls. Rolling tables and benches to easily redesign the space's layout.

AMENITIES
2 industrial stoves
2 industrial fridges
Bathroom
Dish room
Extra storage room
Sonos system
High-speed wifi inside the cellar

PARKING
Metered street parking available.

ONE-STOP-SHOP
Zero property owner interaction, and end-to-end planning service for your needs.
With over 1000+ bookings, 500+ unique clients, and 99% five-star reviews, we are a professional venue-rental company managing over 20 exquisite spaces in NY. 
When you book us, you unlock access to our Super Concierge service. Our experts will arrange everything for you.

ARRIVAL & DEPARTURE
Upon arrival, the space will be prepped, spotless, and ready to use. The on-site rep will check you in and assist to load in/out your equipment, set up all the tech you need, and will be available (but out of your way) the entire time in case you need assistance.  

SOME OF OUR CLIENTS
Our hosting experience includes intimate events, off-site meetings, birthday parties, wedding receptions and small shoots as well as corporate events and productions for: 
Google, Uber, Public Goods, Open Web, Hinge, AB Inbev, WeWork, HBO, Netflix, Bet Networks, ACB, NBC, Fox, Apple, LinkedIn Etsy, Smuggler, Droga 5, Samsung, Montefiore Hospital, Huff Post, Daily Harvest, L’Officiel, Victoria’s Secret, L’Oreal, Ralph Lauren. 




***************************** FAQ & DISCLAIMERS ******************************

IS THERE A CLEANING FEE? HOW MUCH IS IT?
Yes. Cleaning fees start at $400/1-day booking. 

WILL THERE BE AN ON-SITE REP?
Yes. Fees start at $150/booking.

DO I NEED A CERTIFICATE OF INSURANCE? 
COI is mandatory for all companies that book us for productions, offsite meetings, and events. For individuals, we can offer trusted, affordable COI suppliers.

DISCLAIMERS
Prices shown are our minimum before qualifying your reservation. 
Additional fees may apply once we have a full understanding of your project such as: total number of attendees, start and end time of your reservation, vehicles involved in your project (production), the amount of EQ to load in and load out, type of activity, etc. 
All additional fees will be discussed with you and agreed upon in the qualification.",,Williamsburg,Brooklyn,11211,Event Space,,Air Conditioning;Furniture;Counters;Electricity;Kitchen;Street Level;Internet;Window Display;Toilets;Ground Floor;Bathroom;Bar;Industrial;Multiple Rooms;Concierge,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Photo Shooting,new-york
513,29410,1,,1625.0,,,,,,,Modern work space,"This space is located on an upper floor and can accommodate up to 18 people. This 600 sq ft room is equipped with two whiteboards, a 65” smart TV, dedicated HVACs, comfortable lounge seating, and monitors upon request.  5 Windows spanning a full wall create a bright environment that will be sure to get your team feeling productive. 

This is the perfect setting for private meetings, small company luncheons, training sessions, or anyone who wants a private comfortable environment for their gathering. 

Guests will also have access to our Common spaces on the floor ( kitchens lounges and terraces )",,,New York,10018,Meeting Space,,Air Conditioning;Furniture;Garment Rack;Electricity;Heating;Kitchen;Internet;Window Display;Office Equipment;Toilets;Stunning View;Rooftop;Bathroom;Elevator;Water Access;Smoking Area;Terrace,Corporate Event;Conference;Meeting;Office,new-york
536,26262,84,,,20000.0,,,,,,Retail Space in the Heart of Morningside Heights next to Columbia University,"1627SF retail space right next to Columbia University. 

Frontage is 20' on Broadway

•Prime retail opportunity
•Steps from the 1 subway, 9 million riders annually

NEIGHBORS
Hex & Co, Book Culture, Barnes & Noble University, Chipotle, Blue Bottle, Shake Shack, Starbucks, Roberta’s and others.",,Upper West Side,New York,10025,Boutique / Shop,,Air Conditioning;Handicap Accessible;Street Level;Window Display;Toilets;Ground Floor;Bathroom,Pop-Up Store,new-york
566,30642,7,,,,,4000.0,,,,2300 SF Williamsburg WareHouse,Beautiful Rustic 2300 SF Williamsburg Warehouse next to the Water off Kent Ave!,,Williamsburg,Brooklyn,11249,Event Space,,Air Conditioning;Counters;Electricity;Heating;Kitchen;Security System;Ground Floor;Bathroom;Animals Friendly,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Shop Share;Photo Shooting,new-york
579,30045,1,,1506.0,22590.0,2000.0,7500.0,,,,Two Floor Penthouse Caffe & Art Gallery,This cozy 2000 sq ft Trendy Artsy Caffe is versatile and well equipped,,Manhattan Beach,Brooklyn,11235,Art Gallery,,Air Conditioning;Garment Rack;Counters;Electricity;Heating;Kitchen;Lighting;Security System;Street Level;Internet;Ground Floor;Bathroom;Bar;Daylight;Large Door Entrance;Water Access;Smoking Area;Animals Friendly,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Photo Shooting,new-york
595,11499,1,336.0,15000.0,400000.0,25000.0,100000.0,,,Long Island City Event Space,Long Island City Event Space,"This amazing 7,250 sq ft event space is located in Long Island City's most desirable area. It's an ideal space for Private Events and Corporate Functions.

This space is divided over two area, the first is the ballroom, which is spacious with 20' ceiling height, a video wall, mounted screens and an adjustable hydraulic stage. The second space is the mezzanine area which overlooks the main ballroom, this area offers two green rooms and more wall mounted plasma screens. 

This space is easily accessible and well-equipped, the perfect backdrop to large events, conferences and product launches.","This amazing 7,250 sq ft event space is located in Long Island City's most desirable area.",Long Island City,New York,11106,Event Space,,Air Conditioning;Furniture;Counters;Electricity;Fitting Rooms;Handicap Accessible;Heating;Kitchen;Lighting;Security System;Stock Room;Street Level;Internet;Sound & Video Equipment;Toilets,Fashion Show;Product Launch;Photoshoot & Filming,new-york
