,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,neighborhood,city,postal_code,space_type,location_type,primary_features__c,ideal_for__c,city_slug
672,29972,1,,260.0,3900.0,260.0,1300.0,,,,Modern Photographic and Filming Studio in East London,"Our Studios is a modern photographic and filming studio and humble pop-up events venue set within the beautiful aesthetics of Royal Victoria Dock in the heart of the Docklands, East London
The multi-functional studio / pop-up event space features multiple coloured backdrops and  lighting equipment with fitting room, shower and kitchen facilities on premises.
The nearest DLR train station  is Royal Victoria (just one stop from Canning Town Jubilee Line) and the studio if  just a 3 minute walk from the Royal Victoria DLR station.
Paid parking is available on North Woolwich Road from £2",,,Greater London,E16 1AH,Creative Space,,Air Conditioning;Garment Rack;Electricity;Fitting Rooms;Handicap Accessible;Heating;Kitchen;Lighting;Security System;Street Level;Internet;Toilets;Stunning View;Bathroom;Elevator;Daylight;Multiple Rooms;Water Access;Concierge,Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Meeting;Office;Photo Shooting,london
696,10315,1,28.0,495.0,9500.0,,2500.0,,,Flexible Showroom in Islington,Flexible Showroom in Islington,"Nestled in the lively and vibrant area of Islington is this 1,500 square feet space ideal for showrooms, photoshoots and fashion events.

It is a modern space that consists of a large main room on the first floor, smaller room on the ground floor, toilets, kitchen and Wi-Fi, and its white walls and white flooring make it the perfect blank canvas for all your event ideas. 

PLEASE NOTE: 
The day rate quoted is for 9am - 6pm with up to 15-20 people. Larger groups with longer/late hrs, D.J., dancing etc will be subject to bespoke rate upon enquiry.
Rates quoted are for 2022.  Rates for 2023 are available upon enquiry.","Nestled in the lively and vibrant area of Islington is this 1,500 square feet space ideal for showrooms, photoshoots and fashion events.",Islington,London,N1 0NX,Art Gallery,,Furniture;Electricity;Heating;Kitchen;Lighting;Internet;Toilets,Fashion Showroom,london
705,19154,14,,,5200.0,,1600.0,,,Concept Store on Barnsbury Street,HOST Store on Barnsbury Street,"This contemporary, A1 retail space is home to The Home of Sustainable Things [HOST], UK’s & world's only such store and design platform to curate, develop and sell products with zero or low carbon output. As such, we will prioritise other sustainable concepts that align with our ethos and vision. 

PLEASE NOTE THIS STORE IS ONLY AVAILABLE FOR A MINIMUM HIRE OF TWO WEEKS!

Being part of an affluent neighbourhood, the space offers the ideal settings for high-end pop ups, art & design exhibitions and brand activities. The old Barnsbury village, represents the wealthiest part of Islington and its quieter, side streets are filled with well-kept homes and local shops.



As part of a strong local community, your regulars will be Islington residents, so you'll get to know them well. Islington is home to predominantly British population but it also it also has a strong Japanese and French presence.



While in the shop, you will be across the locals favourite, independent florist, next door to a cosmetic clinic, children's music room and Freddie Grubb bike shop. Further along towards Upper Street, you’ll pass Islington's high-end design shops, with more shops dotted further down on Liverpool Road.","This contemporary, A1 retail space is The Home of Sustainable Things and London and UK’s first shop that curates, showcases and sells, exclusively works from designers, pioneering innovative, sustainable products.",Islington,Greater London,N1 1TP,Boutique / Shop,,Counters;Electricity;Heating;Kitchen;Lighting;Security System;Internet;Window Display;Toilets,Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event;Photoshoot & Filming,london
715,31437,28,336.0,,1200.0,,,,,,Fully Furnished Creative Recording  & Photography Studio Space to Let,"1200sq ft  creative space Located in Woodford, IG8

Fully equipped creative studio space consisting of four rooms. 

- Reception Area / Photography Space
- Office Suite 
- Multimedia Room
- Recording Studio 

Also there is a fully equipped kitchen and toilet.

Previously used by a recording / publishing company. 

All rooms will remain furnished with equipment. 

May consider letting individual rooms separately at a rate of £500 per room. 

Available immediately.

Deposit required: 
- £1200 for complete space 
- £500 each for individual rooms

Please call for viewing or if you have any questions.",,,Woodford,IG8 8EY,Creative Space,,Furniture;Garment Rack;Kitchen;Lighting;Internet;Office Equipment;Toilets;Multiple Rooms;Water Access;Soundproof,Office,london
720,8734,180,,,16666.0,,,,,Large retail space in Notting Hill,Large retail space in Notting Hill,"This 4157 sq ft retail unit is a fantastic opportunity for established and upcoming brands to be in a prime shopping and gastronomic location in Notting Hill. 

Situated along a busy main road moments away from Notting Hill Gate station, this vast retail unit is conveniently placed on a corner with maximum visibility from passersby. It is ideal as a restaurant or flagship store with 2396 sq ft of space on the ground floor and 1761 sq ft on the first floor, which is flooded with natural light from panoramic windows. 

Open flame cooking is allowed with disabled and standard toilets across the venue. It is an ideal blank canvas for any ambitious brand to take over.",This 4157 sq ft retail unit is a fantastic opportunity for established and upcoming brands to be in a prime shopping and gastronomic location in Notting Hill.,Notting Hill,London,W11 3QB,Boutique / Shop,,Air Conditioning;Counters;Heating;Kitchen;Lighting;Security System;Internet;Toilets,Pop-Up Store;Food Event,london
721,22536,1,,2000.0,,2400.0,,,,Showroom Space In Southwark,Beautiful Lounge Space,"This unique 1,700 sq ft space located in Southwark is perfect for creative Private Events, Fashion Shows and Photoshoots.

With hard wooden floor with exposed brick walls, wooden beams and shuttered windows that give access exposed light. This space has a one-of-a-kind historic feel. The space is open plan with a small room at the top of a wooden staircase.

Located close to the transport hub of London Bridge station, this space is easily accessible and is a unique opportunity for creative events.","This unique 1,700 sq ft space located in Southwark is perfect for creative Private Events, Fashion Shows and Photoshoots.",Southwark,London,SE1 1RU,Art Gallery,,Air Conditioning;Furniture;Counters;Electricity;Kitchen;Lighting;Internet;Window Display;Toilets,Fashion Show;Art Opening;Product Launch;Fashion Showroom;Corporate Event;Photoshoot & Filming,london
723,30402,180,,,10000.0,,,,,,Pop Up Space On Bromptom Rd,"The property is located in the heart of Brompton Cross on Brompton Road. This affluent
neighbourhood forms part of the design district and is well known for its eclectic mix of
independent/luxury retailers, galleries and restaurants.

Retailers in this pitch include Sandro, Maje, Rene Caovilla, Joseph, Bonpoint and BB
Italia. A Caprice restaurant will be opening opposite the unit in 2022.",,Knightsbridge,London,SW3 2DY,Boutique / Shop,,Counters;Electricity;Street Level;Window Display;Toilets;Stunning View;Whitebox / Minimal,Pop-Up Store,london
724,19585,90,365.0,,9247.0,,,,,Pop-up King's Road Boutique,Pop-up King's Road Boutique,"This beautiful boutique is in the wealthy catchment area of Chelsea on the prime retail street of the King's Road nearby the well renowned Bluebird cafe. The space is ideal for independent fashion and design led brands. 

The space is currently undergoing works and available from March. The space will be move in ready, clean white walls finish, visible glass frontage, lighting and electricity. The space benefits from a prominent frontage on the King's Road. 

Nearby occupiers include Duck & Dry, Prezzemolo & Vitale, TriYoga, Beaufort House, Face Gym, Eight over Eight, London Steakhouse, Sakurami, Juice Baby, Timothy Oulton and the Bluebird.

Brand Requirements:
- Must have been trading for at least 1+ years.
- Must have 4k+ followers on Instagram.
- Must be able to provide a marketing pack for your brand.",This beautiful boutique is in the wealthy catchment area of Chelsea on the prime retail street of the King's Road nearby the well renowned Bluebird cafe.,Chelsea,London,SW3 5ET,Boutique / Shop,,Handicap Accessible;Lighting;Street Level;Window Display,Pop-Up Store,london
730,31739,1,,1000.0,15000.0,1000.0,5000.0,,,,Modern Minimalistic flat,"Modern Minimalistic Open plan Flat/apartment, white floors, white kitchen with island, concrete ceiling and concrete pillars, ceiling height 4.5m, upstairs bedroom with freestanding bathtub and glass balustrade, balcony overlooking Canal.
This space is the perfect location for creative events (Photoshooting, film production, etc.) but also for small/medium size corporate events (workshop, meetings, conferences, networking, etc.). 
- Capacity: about 25 standing and 15 seated
- Equipment: office (screen, projector, flipchart, etc.), event (speaker, crockery, fully equipped kitchen, etc.)
- Access: 15min walk from Angel and Old Street stations. 
- Parking: metered street parking",,,Greater London,N1 7QA,Event Space,,Furniture;Electricity;Fitting Rooms;Heating;Kitchen;Stock Room;Internet;Office Equipment;Sound & Video Equipment;Toilets;Living Space;Stunning View;Bathroom;Elevator;Multiple Rooms;Water Access;Terrace,Fashion Show;Private Sale;Art Opening;Product Launch;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Photo Shooting,london
761,32273,1,,400.0,,,,False,,,Retail 3 - Curated Pop Up Space In Shoreditch,"Right in the heart of Shoreditch on Great Eastern Street, shows signs of its former life as an ironworks in its industrial styling, cast iron pillars, high ceilings and old industrial lift shaft, converted into a suspended DJ booth. 

This retail space is broken into multiple section this section is Retail Space Number 3. This space is perfect for a curated crowd looking to. showcase their best work, product and designs to vibrant shoreditch crowd",,Shoreditch,London,EC2A 3EP,Boutique / Shop,,Counters;Electricity;Lighting;Street Level;Toilets;Stunning View,Private Sale;Product Launch;Pop-Up Store,london
770,29952,1,,400.0,6000.0,400.0,3360.0,False,,,Photo Studio Modern,"Our Studios is a modern photographic and filming studio and humble pop-up events venue set within the beautiful aesthetics of Royal Victoria Dock in the heart of the Docklands, East London
The multi-functional studio / pop-up event space features multiple coloured backdrops and  lighting equipment with fitting room, shower and kitchen facilities on premises.
The nearest DLR train station  is Royal Victoria (just one stop from Canning Town Jubilee Line) and the studio if  just a 3 minute walk from the Royal Victoria DLR station.
Paid parking is available on North Woolwich Road from £2",,,Greater London,E16 1AH,Photo / Filming Studio,,Garment Rack;Electricity;Fitting Rooms;Handicap Accessible;Kitchen;Lighting;Security System;Internet;Toilets;Bathroom;Elevator;Water Access;Concierge,Fashion Show;Private Sale;Product Launch;Corporate Event;Shopping Mall;Photoshoot & Filming;Meeting;Office;Photo Shooting,london
777,31235,1,,1100.0,16500.0,1100.0,5500.0,,,,Versatile event space in Shoreditch,"A versatile location arranged over three floors with many different corporate event types and shooting options, including roof terrace and club room.

Conveniently located a short walk from Shoreditch High Street Station. This uniquely designed warehouse offers a stunning setting for a range of projects.

Its period features – including exposed brick walls, wooden floors, metal stairs and stain glass windows makes it a versatile location for castings, films, corporate events, photography, video production, and fashion shoots.


- Capacity: Standing: 30 (in the 1st floor) or 50 (in the ground floor). Sitting: 30 in the 1st floor 
- Equipment: office (screen, projector, flipchart, etc.) and event (speaker, crockery, fully equipped kitchen, etc.) 
- Access: 5min walk from  Shoreditch High Street and Old Street stations
- Parking: There is limited parking on street. Public parking available a short walk away at Europark Shoreditch High Street.",,,Greater London,E1 6JB,Event Space,,Furniture;Garment Rack;Counters;Electricity;Fitting Rooms;Heating;Kitchen;Stock Room;Internet;Window Display;Office Equipment;Sound & Video Equipment;Toilets;Living Space;Ground Floor;Rooftop;Bathroom;Bar;Daylight;Industrial;Multiple Rooms;Water Access;Concierge;Soundproof;Terrace,Fashion Show;Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Meeting;Photo Shooting,london
784,32524,1,,1209.0,18135.0,1209.0,6045.0,False,,,Original Shoreditch Warehouse Loft,"Welcome to this stunning warehouse apartment in Shoreditch, a vibrant and bustling area of London. This unique space was once a furniture factory and features original exposed brickwork, steel beams, and wooden floors, giving it a charming industrial feel. The high ceilings create a bright and spacious atmosphere, making it the perfect location for a photo shoot or corporate event.

The owners spent a great deal of time and effort carefully refurbishing the loft to bring out its beauty and charm. The apartment is a perfect blend of old and new with vintage furniture and light fittings mixed with modern designer amenities. The brand new open plan kitchen and bathroom are completed to a high-end specification.

The open plan living space is perfect for a photoshoot or event, and you're welcome to use the kitchen and dining area for meals or office work.

Please note that the apartment is located on the third floor, accessible only by stairs.

- Capacity: 30 standing and 20 seated
- Equipment: office (screen, projector, flipchart, etc.) and event (speaker, crockery, fully equipped kitchen, etc.)
- Access: 5min walk from Old Street and Shoreditch High Street stations and 10min from Liverpool street station. 
- Parking: Free on-street parking, Paid parking off premises and Paid parking on premises",,,Greater London,EC2A 3QT,Apartment / Loft,,Furniture;Garment Rack;Counters;Electricity;Fitting Rooms;Heating;Kitchen;Internet;Office Equipment;Sound & Video Equipment;Toilets;Living Space;Bathroom;Industrial;Multiple Rooms;Water Access,Fashion Show;Private Sale;Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Shop Share;Photo Shooting,london
804,21294,90,,,16000.0,,,,,Pop Up Kitchen Space In Chelsea,Pop Up Kitchen Space In Chelsea,"This is a rare opportunity in the wealthy catchment area of Chelsea on the prime retail street of the King's Road to pop up in a former restaurant space. 

The space is a large ground and basement area, with access to gas and extraction, good lighting, hard wooden floorings, larger timber painted frontage, good front of house with storage and kitchen space, this is an ideal location for host your summer pop up kitchen. 

Nearby occupiers include Duck & Dry, Prezzemolo & Vitale, Tri Yoga, CherryMoon, Beaufort House, Face Gym, Eight over Eight, London Steakhouse, Sakurami, Juice Baby, Timothy Oulton and the Bluebird.",This is a rare opportunity in the wealthy catchment area of Chelsea on the prime retail street of the King's Road to pop up in a former restaurant space.,Chelsea,London,SW3 5UH,Boutique / Shop,,Air Conditioning;Furniture;Garment Rack;Counters;Electricity;Fitting Rooms;Handicap Accessible;Heating;Kitchen;Lighting;Security System;Stock Room;Street Level;Internet;Window Display;Office Equipment;Sound & Video Equipment;Toilets,Pop-Up Store,london
806,17314,1,,1700.0,,,6000.0,False,,Showroom in Fitzrovia (Ground Floor only),Showroom in Fitzrovia (Ground Floor only),"Just a short walk from Oxford Street, this 1,200 sq ft gallery is available to rent for product launches, cocktail receptions and corporate meetings. It is also available for on a weekly basis for art exhibitions, showrooms and pop-up shops.

The ground floor is 1200 sq ft with nearly 150 ft of useable wall space. The large frontage and skylight windows provide heaps of natural light. This makes the gallery an ideal venue to showcase big creative projects. Perfect for any advertising agencies nearby!

The ground floor space has 21 double sockets, telephone point and broadband connection, 3 electronic four-speed ceiling fans and ceiling mounted track lighting. There is a toilet and kitchen with sink and drainer, two double sockets, fridge, and PA system with an iPod connection for speakers throughout both floors.

The lower gallery has a cloakroom and additional toilet with shower. Double glazed doors in the lower gallery allows in some natural light. The gallery is protected by a monitored alarm system.","Just a short walk from Oxford Street, this 1,200 sq ft gallery is available to rent for product launches, cocktail receptions and corporate meetings.",Fitzrovia,London,W1T 1DR,Art Gallery,,Furniture;Electricity;Heating;Kitchen;Lighting;Security System;Internet;Toilets,Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming,london
811,31569,90,,,1.0,,,,,,"Boutique Space On Great Portland Street, Fitzrovia","The property is situated on the West side of Great Portland Street, close to its junction with Mortimer Street, thus being within close proximity of Market Place and Oxford Street. Transport facilities are excellent with Oxford Circus underground station being within easy walking distance.

Nearby occupiers include Shadi Salon, Busi Cafe, REVIV London, The Great THAI GRAB & GO and Runners Need to name but a few.",,Fitzrovia,London,W1W 7LF,Boutique / Shop,,Electricity;Stock Room;Street Level;Window Display;Toilets;Stunning View;Whitebox / Minimal,Private Sale;Pop-Up Store,london
813,29810,1,56.0,984.0,14760.0,1200.0,3480.0,,,,London Lighthouse Gallery,"The larger room is our main gallery space where we put on exhibition biweekly or monthly. This space includes our gallery gift-shop, reception area, disabled access toilet and kitchenette including a fridge, sink, tea and coffee facilities. In this space we also have additional Z panel walls for extra wall space or more options to divide up the space.",,Leamouth Peninsula,Greater London,E14 0SU,Art Gallery,,Air Conditioning;Garment Rack;Electricity;Handicap Accessible;Heating;Kitchen;Lighting;Street Level;Internet;Window Display;Sound & Video Equipment;Toilets;Ground Floor;Bathroom;Whitebox / Minimal;Industrial;Large Door Entrance;Water Access;Concierge;Animals Friendly;Soundproof,Private Sale;Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Corporate Event;Photoshoot & Filming;Conference;Meeting;Shop Share,london
815,31469,1,,800.0,12000.0,800.0,4000.0,,,,Georgian townhouse in Holborn,"Nestled in the heart of Bloomsbury's literary quarter, this charming Georgian townhouse is a great find for your photoshoots and small corporate events. Over the last two hundred years, this garden square has had many notable residents, including Leonard and Virginia Woolf (who lived at 37) and DH Lawrence (lodged at 44), while John Masefield became poet laureate in 1930, living under this very roof. A private communal garden with tennis courts makes this a truly rare find in this part of town. Spread over four floors, this city-centre base is not best-suited for those who aren't keen on stairs.
- Capacity: Standing: 20. Sitting: 12
- Equipment: office (screen, projector, flipchart, etc.) and event (speaker, crockery, fully equipped kitchen, etc.) 
- Access: 5min walk from Holborn, Chancery lane andTemple stations
- Parking: Metered street parking",,,Greater London,WC2A 3QB,Event Space,,Furniture;Garment Rack;Counters;Electricity;Fitting Rooms;Heating;Kitchen;Stock Room;Internet;Office Equipment;Sound & Video Equipment;Toilets;Living Space;Rooftop;Bathroom;Daylight;Garden;Multiple Rooms;Water Access;Terrace,Corporate Event;Photoshoot & Filming;Conference;Meeting;Photo Shooting,london
849,28376,1,,1250.0,,1500.0,,False,,,Menier Room - exposed brick loft,"With exposed brick walls, floor to ceiling windows and original wooden beams, this location is the perfect loft-style location for your shoot. This blank canvas studio within a former chocolate factory boasts superb daylight, cast iron red columns and a period industrial style. Situated on the 2nd floor, the unique and versatile room can easily be built upon or used as is. A popular location for commercial and lifestyle filming and photography, castings and music videos, and conveniently located just a few minutes walk from London Bridge station.",,,Greater London,SE1 1RU,Apartment / Loft,,Electricity;Toilets;Daylight;Raw,Photoshoot & Filming;Photo Shooting,london
863,32271,1,,400.0,,,,False,,,Retail 1 - Curated Pop Up Space In Shoreditch,"Right in the heart of Shoreditch on Great Eastern Street, shows signs of its former life as an ironworks in its industrial styling, cast iron pillars, high ceilings and old industrial lift shaft, converted into a suspended DJ booth. 

This retail space is broken into multiple section this section is Retail Space Number 1. This space is perfect for a curated crowd looking to. showcase their best work, product and designs to vibrant shoreditch crowd",,Shoreditch,London,EC2A 3EP,Boutique / Shop,,Electricity;Stock Room;Street Level;Toilets;Whitebox / Minimal,Private Sale;Product Launch;Pop-Up Store,london
878,32272,1,,400.0,,,,False,,,Retail 2 - Curated Pop Up Space In Shoreditch,"Right in the heart of Shoreditch on Great Eastern Street, shows signs of its former life as an ironworks in its industrial styling, cast iron pillars, high ceilings and old industrial lift shaft, converted into a suspended DJ booth. 

This retail space is broken into multiple section this section is Retail Space Number 2. This space is perfect for a curated crowd looking to. showcase their best work, product and designs to vibrant shoreditch crowd",,Shoreditch,London,EC2A 3EP,Boutique / Shop,,Counters;Electricity;Lighting;Street Level;Toilets;Stunning View;Ground Floor;Whitebox / Minimal,Private Sale;Product Launch;Pop-Up Store,london
891,32275,1,,300.0,,,,False,,,Retail 4 - Curated Pop Up Space,"Right in the heart of Shoreditch on Great Eastern Street, shows signs of its former life as an ironworks in its industrial styling, cast iron pillars, high ceilings and old industrial lift shaft, converted into a suspended DJ booth. 

This retail space is broken into multiple section this section is Retail Space Number 4. This space is perfect for a curated crowd looking to. showcase their best work, product and designs to vibrant shoreditch crowd",,Shoreditch,London,EC2A 3EP,Boutique / Shop,,Counters;Electricity;Lighting;Street Level;Toilets,Private Sale;Pop-Up Store,london
