,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,neighborhood,city,postal_code,space_type,location_type,primary_features__c,ideal_for__c,city_slug
31,12642,30,365.0,,120000.0,,,,,Cozy Sheung Wan Pop-Up Store,Cozy Sheung Wan Pop-Up Store,"This compact pop-up store is in the cultural area of Sheung Wan. It is an ideal location for brands to host a Pop-Up Store.

This cosy pop-up store has a colourful frontage with a welcoming window display, the shop is filled with natural light, creating a warm ambience.This modern pop-up store is raw with basic interiors of polished concrete floors and white walls. With inviting window display and a bright atmosphere, this shop offers basic amenities including a stock room, electricity, and toilets, which can accommodate a variety of pop-up stores.

Surrounded by popular restaurants and a few galleries, this shop is great for brands and startups to curate their perfect pop-up retail experience in an on-the-rise setting.",This compact pop-up store is in the cultural area of Sheung Wan.,Sheung Wan,Hong Kong,,Boutique / Shop,,Electricity;Stock Room;Street Level;Window Display;Toilets;Raw,Pop-Up Store,hong-kong
41,8884,1,365.0,7200.0,,8280.0,44676.0,,,Bright Pop-Up Event Space in Wan Chai,Bright Pop-Up Event Space in Wan Chai,"This artsy 545 square feet space is your opportunity to experience the edgy and hipster area of Wan Chai.

The space is situated in a classy and historical building and is spread over ground floor. There are some plants nearby providing you a refreshing feeling.

It is an open space with a grey and white color scheme, allowing you to host different pop-up events.",This artsy 545 square feet space is your opportunity to experience the edgy and hipster area of Wan Chai.,Wan Chai,Hong Kong,,Other,,Electricity;Lighting;Street Level;Internet;Toilets,Product Launch;Pop-Up Store,hong-kong
44,12271,7,365.0,,280000.0,,91000.0,,,Elegant Mall Shop in Causeway Bay,Elegant Mall Shop in Causeway Bay,"This modern mall shop is advantageously located in the touristic area of Causeway Bay close to Sogo and the MTR station which is a great location for a mall shop.

This one-of-a-kind mall shop is located on the third floor of a bustling shopping mall. It has a stylish feel with vast windows which allow plenty of natural light into the shop, creating a well-lit ambience. 
The interiors are basic with white walls and polished concrete flooring, giving the shop an elegant and stylish feel. It also offers basic amenities including air-conditioning and basic lighting, which can accommodate a variety of mall shops.

Situated close to another prestigious shopping mall, Sogo and the MTR station, this shop is well-located for mall shop.",This modern mall shop is advantageously located in the touristic area of Causeway Bay close to Sogo and the MTR station which is a great location for a mall shop.,Causeway Bay (West),Hong Kong,,Mall Shop,,Air Conditioning;Electricity;Lighting;Daylight,Shopping Mall,hong-kong
45,12281,30,365.0,,124110.0,,,,,Minimal Pop-Up Store in Jordan,Minimal Pop-Up Store in Jordan,"This open pop-up store is in the bustling area of Jordan which is an ideal location for brands to host a Pop-Up Store.

This modern pop-up store has a floor-to-ceiling frontage, filling with luminous natural light. 
There are contemporary interiors with polished concrete floors and white walls. The shop has a welcoming atmosphere with a warm edge. Equipped with basic lighting, this pop-up store is a blank canvas ideal for brands and startups to bridge the gap between online and offline retail.

Located close to a few hotels in the area, this shop benefits from steady foot traffic and is ideal for brands and startups to gain more exposure.",This open pop-up store is in the bustling area of Jordan which is an ideal location for brands to host a Pop-Up Store.,Yau Ma Tei,Hong Kong,,Boutique / Shop,,Electricity;Lighting;Street Level,Pop-Up Store,hong-kong
47,16398,30,,,20100.0,,,,,Mall Booth in G/F in Kowloon Bay,Mall Booth in G/F in Kowloon Bay,"This entertaining space is your opportunity to experience the edgy and vibrant side of Kowloon Bay. 

It is situated in one of the most popular shopping malls in Kowloon Bay. This mall sit in the G/F of the mall, which attract customer attention from the entrance of the mall. 

Remarks: 

2500mm x 2500mm

15% of monthly gross sales turnover 

(Note: The above rental is inclusive of Management fee, Air-conditioning Charge, Promotional Levy, Government Rates and but exclusive of all other outgoings. The tenant shall pay the Monthly Basic Rent or Monthly Turnover Rent, whichever is higher)",This entertaining space is your opportunity to experience the edgy and vibrant side of Kowloon Bay.,Kowloon Bay,Hong Kong,,Booth / Kiosk / Stand,,Air Conditioning;Electricity;Lighting,Shopping Mall,hong-kong
49,16380,30,,,60000.0,,,,,Mall Booth in mall entrance in Kowloon Bay,Mall Booth in mall entrance in Kowloon Bay,"This entertaining space is your opportunity to experience the edgy and vibrant side of Kowloon Bay. 

It is situated in one of the most popular shopping malls in Kowloon Bay. This mall sits in the G/F of the mall, which attracts customer attention from the entrance of the mall.

Remarks: 

2654mm x 7000mm 

15% of monthly gross sales turnover 

(Note: The above rental is inclusive of Management fee, Air-conditioning Charge, Promotional Levy, Government Rates and but exclusive of all other outgoings. The tenant shall pay the Monthly Basic Rent or Monthly Turnover Rent, whichever is higher)",This entertaining space is your opportunity to experience the edgy and vibrant side of Kowloon Bay.,Kowloon Bay,Hong Kong,,Booth / Kiosk / Stand,,Air Conditioning;Electricity;Lighting,Shopping Mall,hong-kong
55,8553,1,30.0,61000.0,,180000.0,,,,Elegant Pop-Up Space in the Heart of Causeway Bay,Elegant Pop-Up Space in the Heart of Causeway Bay,"This 857 square feet open space is well-located at the heart of Causeway Bay. It is in a high foot traffic prime mall with direct access to the MTR station. It is available to rent for Pop-Up stores and events. 

The open space is located on the first floor and is at the centre of the atrium of the modern shopping mall. This large open space has a white colour scheme, with no other shops to block its view. 

In the middle of the space, you will see a hollow path between two white concrete poles, which creates clear visibility for the shoppers to see the Pop-Up setting on the atrium.",This 857 square feet open space is well-located at the heart of Causeway Bay.,Causeway Bay (West),Hong Kong,,Booth / Kiosk / Stand,,Air Conditioning,Pop-Up Store,hong-kong
56,8484,3,180.0,5800.0,,19500.0,,,,Mall Pop-Up Space in Causeway Bay,Mall Pop-Up Space in Causeway Bay,"Nestled in the lively and vibrant area of Causeway Bay is this 287 square feet Pop-Up Space  available to rent for retail. 

The space is located on the ground level near the main entrance of a shopping plaza.This shopping plaza houses the world's most famous international lifestyle labels and fashion flagship stores. 

It is an open space well-suited for mall booths, with brick floor and clay red walls.",Nestled in the lively and vibrant area of Causeway Bay is this 287 square feet Pop-Up Space  available to rent for retail.,Causeway Bay (West),Hong Kong,,Booth / Kiosk / Stand,,Electricity;Street Level;Ground Floor,Product Launch;Pop-Up Store,hong-kong
57,11294,30,365.0,,150000.0,,,,,Mall Shop in TST Retail Hub,Mall Shop in TST Retail Hub,"This 510 sq ft pop-up shop is nestled in Tsim Sha Tsui, a busy commercial and retail hub in Hong Kong. It is now available for brands to open pop-up shops here.

The shop is located on the ground floor of a modern-looking shopping mall, surrounded by numerous hotels and tourist attractions in the area. It is without a doubt the best chance for brands to gain more exposure via holding pop-up shops or events.

The shop does not have a design yet, though the walls are painted and the concrete floor is polished, it should be rather easy for brands to give a makeover. Also, it is equipped with air-conditioning, electricity, lighting system, as well as a large room for window display. With the aid of these basic amenities, brands can definitely set the ball rolling.","This 510 sq ft pop-up shop is nestled in Tsim Sha Tsui, a busy commercial and retail hub in Hong Kong.",Tsim Sha Tsui,Hong Kong,,Mall Shop,,Air Conditioning;Electricity;Lighting;Street Level;Window Display;Ground Floor,Pop-Up Store,hong-kong
60,13053,90,365.0,,102740.0,,,,,Industrial Yuen Long Pop-Up Store,Industrial Yuen Long Pop-Up Store,"This authentic pop-up store is in the popular area of Yuen Long. It is an ideal location for brands to host a pop-up store.

This venue boasts a welcoming and extensive frontage, there is a lovely feel with great visibility. The interiors are fantastic with raw concrete floors and gray walls, giving the venue an industrial feel. With limited amenities, this pop-up store is a blank canvas ideal for brands and startups to embark on a flagship retail venure. 

Surrounded by residential buildings, this location is great for brands and startups to embark on a flagship retail venue in an industrial setting.",This authentic pop-up store is in the popular area of Yuen Long.,Yuen Long,Hong Kong,,Boutique / Shop,,Electricity;Street Level,Pop-Up Store,hong-kong
62,8514,1,,4000.0,,8600.0,,,,Lovely Pop-Up Booth in Busy Diamond Hill Shopping Mall,Lovely Pop-Up Booth in Busy Diamond Hill Shopping Mall,"Located steps from the Diamond Hill MTR station, this 257 square foot pop-up shop is available to rent for your next pop-up store, art opening/exhibition or other short-term promotional event. 

The space is located on the first level of a trendy shopping mall that receives high foot traffic. 

This space is modern in style with white ceilings, tiled floors and white walls to seamless break the monotony. It is handicapped-accessible and is complete with toilets and lighting. 

Noise restrictions are in effect due to its presence within a shopping mall; elevators are available for quick load-in. A great venue for your next short-term event!","Located steps from the Diamond Hill MTR station, this 257 square foot pop-up shop is available to rent for your next pop-up store, art opening/exhibition or other short-term promotional event.",Diamond Hill,Hong Kong,,Booth / Kiosk / Stand,,Air Conditioning;Furniture;Handicap Accessible;Lighting;Security System;Internet;Sound & Video Equipment;Toilets,Art Opening;Shopping Mall,hong-kong
64,11757,1,365.0,3840.0,,3840.0,,,,Welcoming Loft in Causeway Bay,Welcoming Loft in Causeway Bay,"Situated in the iconic Causeway Bay neighbourhood, this loft is located close to MTR station, which is an excellent location for Photoshoots and Late-night Events.

With a subtle entrance, the loft is filled with natural light, which creates a bright ambience.
This modern loft is trendy with contemporary interiors of wooden floors and wood panelled. With extensive windows, the loft is having a luminous atmosphere. With sound and video equipment, a projector and other specialised facilities, this loft is well-equipped for photoshoots and late-night events. 

This spectacular space is situated in a trendy area of Causeway Bay close to MTR station, it is fairly accessible from anywhere, which makes this place an amazing venue to perform photo shooting or organising late-night events.","Situated in the iconic Causeway Bay neighbourhood, this loft is located close to MTR station, which is an excellent location for Photoshoots and Late-night Events.",Causeway Bay (West),Hong Kong,,Apartment / Loft,,Air Conditioning;Furniture;Electricity;Lighting;Internet;Sound & Video Equipment;Toilets,Late Night Event (after 10pm);Photoshoot & Filming,hong-kong
65,12272,90,,,300000.0,,,,,Spacious Causeway Bay Mall Shop,Spacious Causeway Bay Mall Shop,"This contemporary mall shop is in the touristic area of Causeway Bay.  It is an ideal location for brands to host a mall shop.

This welcoming mall shop is located on the second floor of the mall which has a stylish feel with large windows, allowing plenty of natural light into the shop and creating a well-lit ambience. 
There are basic interiors with white walls and concrete flooring. The shop has a trendy and creative atmosphere with a conceptual edge. It also offers basic amenities including air-conditioning, basic lighting, and electricity, which can accommodate a variety of mall shop.

Located near Sogo and the MTR station, this mall shop is great for brands and startups to make an impact and gain more exposure in a bustling setting.",This contemporary mall shop is in the touristic area of Causeway Bay.,Causeway Bay (West),Hong Kong,,Mall Shop,,Air Conditioning;Electricity;Lighting;Daylight,Shopping Mall,hong-kong
66,25478,365,,,90000.0,,,,,Pop-up space for rent near Man Mo Temple,Pop-up Boutique near Man Mo Temple in Sheung Wan,"This beautiful boutique is in the busy area of Soho, Central. It is an ideal location for brands to host a Pop-Up Store or Product Launch.

This space boasts an inviting frontage with a large window display, there is a welcoming feel with great visibility. The interiors here are arty with creative white walls, raw concrete floors. The space has a creative atmosphere and a generous entrance adds a beautiful feel to the space.

Located close to Gough Street and Man Mo Temple this space benefits from steady foot traffic and is ideal for brands and designers to gain exposure.","This beautiful boutique is in the busy area of Soho, Central. It is an ideal location for brands to host a Pop-Up Store or Product Launch.",Sheung Wan,Hong Kong,,Boutique / Shop,,Street Level,Pop-Up Store,hong-kong
67,25475,30,,,270000.0,,,,,,Extensive retail space in Wellington Street,"This large venue for rent is situated on the busy street of Wellington street. It is an ideal location for brands to host a Pop-Up Store or Product Launch.

With its significant pedestrian traffic due its location, this venue ensures an important brand environment thanks to its shop retailers presence.

Surrounded by popular landmarks, this space is great for brands to gain exposure in a lively setting.",,Central,Hong Kong,,Boutique / Shop,,Street Level,Pop-Up Store,hong-kong
68,12304,30,365.0,,70000.0,,,,,Sharp Pop-Up Store in Busy Jordan,Sharp Pop-Up Store in Busy Jordan,"This generous pop-up store is in the classic area of Jordan.  It is an ideal location for brands to host a Pop-Up Store.

With a welcoming frontage and elegant display windows, this pop-up store offers good visibility, filling with a well-lit natural light. 
This one-of-a-kind pop-up store is warm with simple interiors of white walls and carpeted flooring. With vast windows and a high ceiling, it has a bright and spacious atmosphere. This shop also offers basic amenities including air-conditioning and can accommodate a variety of pop-up stores.

Located near the MTR station, this shop is easily accessible, which is great for brands and startups to bridge the gap between online and offline retail in a bustling setting.",This generous pop-up store is in the classic area of Jordan.,Yau Ma Tei,Hong Kong,,Boutique / Shop,,Air Conditioning;Electricity;Lighting;Street Level;Window Display;Toilets,Pop-Up Store,hong-kong
69,12004,30,365.0,,150000.0,,,,,Amazing Mall Shop in the centre of Nathan Road,Amazing Mall Shop in the centre of Nathan Road,"This modern mall shop is located in the bustling area of Jordan which is an ideal location for brands to host a mall shop.

This bright mall shop has an entire glass frontage with an elegant window display, the mall shop is filled with a  natural light. 
There are basic interiors with polished concrete floors, white walls and large windows. The mall shop has a fresh atmosphere which offers basic amenities including air-conditioning and can accommodate a variety of retail events.

Located close to the Jordan MTR station, this mall shop is easily accessible and a great location for pop-up stores.

Moreover, this shop is ideal for brands looking for a mid-term rental opportunity.",This modern mall shop is located in the bustling area of Jordan which is an ideal location for brands to host a mall shop.,Tsim Sha Tsui,Hong Kong,,Mall Shop,,Air Conditioning;Electricity;Lighting;Street Level;Window Display,Shopping Mall,hong-kong
70,8850,1,2.0,30000.0,,50000.0,,,,Pop-Up Store in Famous TST Mall,Pop-Up Store in Famous TST Mall,"Located in the heart of Tsim Sha Tsui, the mall is the prestigious address embracing the hub of transportation. The ride from the mall to Central only takes 15 minutes. The shopping complex comprises of 400,000 square feet of retail space with twenty-nine levels.

This 4,887 square feet open area is now available to rent for pop-up stores, giving you a perfect opportunity to expand your business.

This space locates on the L16 of the mall, which is the platform garden.

This space is decorated with plants and the height allows you to view this vibrant city. It is equipped with WiFi and fire alarm. Elevator, goods elevator, and handicapped-accessible facilities are also available in the shopping mall. Toilet and parking are also provided in the mall, perfect for private/corporate event, RSVP event only.","Located in the heart of Tsim Sha Tsui, the mall is the prestigious address embracing the hub of transportation.",Tsim Sha Tsui,Hong Kong,,Booth / Kiosk / Stand,,Air Conditioning;Handicap Accessible;Lighting;Security System;Internet;Toilets;Stunning View;Private Parking,Product Launch,hong-kong
72,26465,365,,,345833.0,,,,,Flagship store premises in core Central,Flagship store premises in core Central,"These premises are located in the core of Central, in one of the high streets with 24 hours bustling flow of people.

It is surrounded by restaurants, coffee shops, and stands at the center of a hub of international brands.

The unit offers an efficient layout with excellent exposure.

Only 3 minutes walk to Central MTR station.

Subject to availability and approval by the landlord.","These premises are located in the core of Central, in one of the high streets with 24 hours bustling flow of people.",Central,Hong Kong,,Boutique / Shop,,Lighting,Pop-Up Store;Food & Beverage,hong-kong
73,26144,365,,,66666.0,,,,,Modern and minimalist shop in high street of Central,Modern and minimalist shop in high street of Central,"This unit is located on a high street of Central, Hong Kong.

Its interiors are minimalist with a modern design made of concrete flooring, a high ceiling with white walls, a designed glass frontage, etc.

It is ideal to open a shop, a gallery, or a curated office space.

Surrounded by coffee places, restaurants, galleries, and high-end shops, this commercial unit benefits from great traffic of office workers with high spending power.

Ready-to-move-in unit which is rare in Hong Kong... Don't miss this occasion and enquire us to schedule a site visit.","Its interiors are minimalist with a modern design made of concrete flooring, a high ceiling with white walls, a designed glass frontage, etc.",Central,Hong Kong,,Boutique / Shop,,Air Conditioning;Counters;Whitebox / Minimal,Art Opening;Pop-Up Store;Fashion Showroom;Office,hong-kong
74,26541,365,,,80000.0,,,,,,Ideally located retail shop in Causeway Bay,"This small unit is ideally located in one of the high streets of Causeway Bay. 

Close to Times Square and only 2 minutes walk from the MTR Exit, it will guarantee great exposure to your business.",,Causeway Bay,Hong Kong,,Boutique / Shop,,Street Level,Pop-Up Store,hong-kong
75,26662,180,,,57833.0,,,,,Shop for rent in affluent street of Causeway Bay,Shop for rent in affluent street of Causeway Bay,"This decently sized retail unit is conveniently located on the more affluent street in Causeway Bay just a 2 minute walk from Times Square.

It is surrounded by bars, restaurants, cafes, office towers and hotels.

A lively address that will guarantee continuous pedestrian traffic.","This decently sized retail unit is conveniently located on the more affluent street in Causeway Bay just a 2 minute walk from Times Square.

It is surrounded by bars, restaurants, cafes, office towers and hotels.

A lively address that will guarantee continuous pedestrian traffic.",Causeway Bay,Hong Kong,,Boutique / Shop,,Air Conditioning;Electricity;Lighting;Street Level;Ground Floor,Pop-Up Store,hong-kong
77,8477,1,,6000.0,,15000.0,,,,Mall Pop-Up Store in Tseung Kwan O,Mall Pop-Up Store in Tseung Kwan O,"Located in the heart of Tseung Kwan O, this 150 square foot pop-up booth is available to rent for your next pop-up store, sale or other promotional event. 

The space is located on the level 1 of a popular shopping mall. Despite not having windows, this space is well lit and ventilated. The monochrome design in white give the space a fresh and clean finish to suit all of your business event's needs. 

There are noise restrictions as the space is located within a shopping center; air conditioning and toilets are included. It is wheel-chair accessible and includes an elevator for easy load-in. It's really perfect spot for launching a pop-up store with high visibility due to the mall traffic already present.","Located in the heart of Tseung Kwan O, this 150 square foot pop-up booth is available to rent for your next pop-up store, sale or other promotional event.",Tseung Kwan O,Hong Kong,,Booth / Kiosk / Stand,,Air Conditioning;Handicap Accessible;Lighting;Security System;Internet;Toilets;Elevator,Shopping Mall,hong-kong
78,26218,180,,,148000.0,,,,,Ideal shop for pop-up in affluent Wellington Street,Ideal shop for pop-up in affluent Wellington Street,"This shop is located in a high street of Central, at less than a 5-minute walk from the MTR Station.

It is surrounded by shops, restaurants, bars, and office buildings and benefits from great foot traffic.

The unit is in good condition but the interiors would need to be refreshed.

The Ground floor size is 850 sq ft + the cockloft around 600 sq ft.","This shop is located in a high street of Central, at less than a 5-minute walk from the MTR Station.",Central,Hong Kong,,Boutique / Shop,,Air Conditioning;Electricity;Street Level,Private Sale;Product Launch;Pop-Up Store;Fashion Showroom,hong-kong
80,26697,365,,,42000.0,,,,,Hot listing for rent in Quarry Bay,Hot listing for rent in Quarry Bay,"This unit of 450 sq ft is ideally located in a high foot traffic street of Quarry Bay and just a few minutes walk from the MTR station.

Suitable for F&B activities or Retail.","This unit of 450 sq ft is ideally located in a high foot traffic street of Quarry Bay and just a few minutes walk from the MTR station.

Suitable for F&B activities or Retail.",Quarry Bay,Hong Kong,,Restaurant / Bar / Cafe,,Ground Floor,Pop-Up Store;Food & Beverage,hong-kong
